Category,Brand,Item ID,Model,Description,Price,URL
French Door Refrigerators,LG Electronics,305573330,LFXS26973S,26 cu. ft. French Door Smart Refrigerator with Ice and Water Dispenser in PrintProof Stainless Steel,1898.0,https://www.homedepot.com/p/LG-Electronics-26-cu-ft-French-Door-Smart-Refrigerator-with-Ice-and-Water-Dispenser-in-PrintProof-Stainless-Steel-LFXS26973S/305573330
French Door Refrigerators,LG,322038211,LRFLC2706S,27 cu. ft. Smart Counter Depth MAX French Door Refrigerator with Internal Water Dispenser in PrintProof Stainless Steel,1898.0,https://www.homedepot.com/p/LG-27-cu-ft-Smart-Counter-Depth-MAX-French-Door-Refrigerator-with-Internal-Water-Dispenser-in-PrintProof-Stainless-Steel-LRFLC2706S/322038211
French Door Refrigerators,GE,320243591,GNE27JYMFS,"27.0 cu. ft. French Door Refrigerator in Fingerprint Resistant Stainless Steel, ENERGY STAR",1498.0,https://www.homedepot.com/p/GE-27-0-cu-ft-French-Door-Refrigerator-in-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR-GNE27JYMFS/320243591
French Door Refrigerators,Bosch,310324792,B36CT80SNS,800 Series 21 cu. ft. 3-Door French Door Counter Depth Smart Refrigerator in Stainless Steel w/ FarmFresh Fridge System,3148.0,https://www.homedepot.com/p/Bosch-800-Series-21-cu-ft-3-Door-French-Door-Counter-Depth-Smart-Refrigerator-in-Stainless-Steel-w-FarmFresh-Fridge-System-B36CT80SNS/310324792
French Door Refrigerators,Samsung,314024432,RF28T5001SR,35.8 in. 28.2 cu. ft. Standard Depth French Door Refrigerator in Stainless Steel with Smudge-Proof Finish,1498.0,https://www.homedepot.com/p/Samsung-35-8-in-28-2-cu-ft-Standard-Depth-French-Door-Refrigerator-in-Stainless-Steel-with-Smudge-Proof-Finish-RF28T5001SR/314024432
French Door Refrigerators,GE Profile,311411352,PVD28BYNFS,Profile 27.9 cu. ft. Smart 4-Door French Door Refrigerator with Door in Door in Fingerprint Resistant Stainless Steel,2998.0,https://www.homedepot.com/p/GE-Profile-Profile-27-9-cu-ft-Smart-4-Door-French-Door-Refrigerator-with-Door-in-Door-in-Fingerprint-Resistant-Stainless-Steel-PVD28BYNFS/311411352
French Door Refrigerators,LG,206452443,LFCS22520S,30 in. W 22 cu. ft. French Door Refrigerator with Ice Maker in Stainless Steel,1298.0,https://www.homedepot.com/p/LG-30-in-W-22-cu-ft-French-Door-Refrigerator-with-Ice-Maker-in-Stainless-Steel-LFCS22520S/206452443
French Door Refrigerators,Bosch,310324783,B36CL80ENS,800 Series 21 cu. ft. 4-Door French Door Counter Depth Smart Refrigerator in Stainless Steel w/ FarmFresh Fridge System,3418.0,https://www.homedepot.com/p/Bosch-800-Series-21-cu-ft-4-Door-French-Door-Counter-Depth-Smart-Refrigerator-in-Stainless-Steel-w-FarmFresh-Fridge-System-B36CL80ENS/310324783
French Door Refrigerators,LG,321576295,LRFOC2606S,26 cu. ft. Smart InstaView Counter Depth MAX French Door Refrigerator in PrintProof Stainless Steel,2298.0,https://www.homedepot.com/p/LG-26-cu-ft-Smart-InstaView-Counter-Depth-MAX-French-Door-Refrigerator-in-PrintProof-Stainless-Steel-LRFOC2606S/321576295
French Door Refrigerators,Samsung,312904318,RF27T5201SR,"35.8 in. 27 cu. ft. Standard Depth French Door Refrigerator in Stainless Steel with Child Lock, Door Alarm",1798.0,https://www.homedepot.com/p/Samsung-35-8-in-27-cu-ft-Standard-Depth-French-Door-Refrigerator-in-Stainless-Steel-with-Child-Lock-Door-Alarm-RF27T5201SR/312904318
